frame	PSR
2	5.1049
3	5.13405
4	5.05411
5	5.11845
6	4.97143
7	4.96599
8	5.04265
9	4.94674
10	4.87887
11	4.78671
12	4.67958
13	4.47544
14	4.39136
15	4.28141
16	4.13599
17	4.22335
18	4.15683
19	4.07699
20	4.011
21	3.92873
22	3.69583
23	3.86065
24	3.79547
25	3.94929
26	3.92462
27	3.9325
28	3.92814
29	4.11628
30	4.01276
31	3.68947
32	4.12637
33	3.95159
34	3.91416
35	3.85906
36	3.63435
37	3.71725
38	3.64068
39	3.74974
40	3.8385
41	3.79838
42	3.95985
43	3.88374
44	4.08242
45	3.96172
46	3.74608
47	3.85065
48	3.95018
49	4.1339
50	4.11732
51	4.17248
52	4.11252
53	4.1634
54	4.00028
55	3.95972
56	3.91294
57	3.87785
58	3.74345
59	3.84928
60	3.70524
61	3.73362
62	3.89421
63	3.77596
64	3.87051
65	3.66202
66	3.6988
67	3.64163
68	3.79669
69	3.81922
70	3.78436
71	3.81659
72	3.81957
73	3.98849
74	4.02284
75	3.94648
76	4.17498
77	4.18606
78	4.06952
79	4.01471
80	4.05467
81	4.10492
82	4.09887
83	4.08253
84	4.04772
85	4.06785
86	3.92888
87	4.14537
88	4.10859
89	4.01885
90	3.74087
91	3.80871
92	3.81644
93	3.65457
94	3.6478
95	3.62916
96	3.61856
97	3.50018
98	3.37391
99	3.599
100	3.68803
101	3.76151
102	3.93323
103	3.85484
104	3.88284
105	4.04521
106	4.06995
107	4.04103
108	4.0736
109	4.17346
110	3.9849
111	4.04921
112	3.92352
113	3.83881
114	4.09778
115	3.96207
116	4.07341
117	4.01045
118	4.04582
119	4.04012
120	3.93952
121	3.8629
122	3.87197
123	3.62212
124	3.6976
125	3.69099
126	3.44587
127	3.21996
128	3.22258
129	3.05011
130	2.97833
131	3.28785
132	3.09223
133	2.54463
134	2.50992
135	2.68916
136	2.80927
137	2.69599
138	2.76672
139	2.91546
140	2.52579
141	2.60655
142	2.60263
143	2.8699
144	2.83829
145	2.93525
146	2.85606
147	2.8505
148	2.96321
149	2.74518
150	2.73682
151	2.60025
152	2.60736
153	2.51959
154	2.49794
155	2.81771
156	3.00985
157	2.86039
158	2.95891
159	2.9749
160	2.80272
161	2.88477
162	2.95241
163	3.16757
164	3.07471
165	3.15454
166	3.10455
167	3.19704
168	3.20299
169	3.40331
170	3.39305
171	3.49943
172	3.40284
173	3.59001
174	3.63603
175	3.59394
176	3.55208
177	3.64003
178	3.50399
179	3.51351
180	3.38101
181	3.47435
182	3.50748
183	3.47878
184	3.5535
185	3.59986
186	3.47376
187	3.63121
188	3.67303
189	3.47222
190	3.4369
191	3.60858
192	3.52931
193	3.57656
194	3.63296
195	3.64833
196	3.81759
197	3.86074
198	3.9657
199	3.93844
200	4.0297
201	4.02454
202	4.07262
203	4.23572
204	4.11604
205	4.16034
206	4.14921
207	4.16088
208	4.1788
209	4.21346
210	4.2279
211	4.271
212	4.23009
213	4.21439
214	4.27334
215	4.29945
216	4.31995
217	4.36885
218	4.3677
219	4.28182
220	4.31844
221	4.30214
222	4.37273
223	4.35907
224	4.38174
225	4.36102
226	4.38504
227	4.37342
228	4.49066
229	4.56017
230	4.46062
231	4.52903
232	4.46153
233	4.55746
234	4.47191
235	4.57066
236	4.48905
237	4.56915
238	4.47938
239	4.59034
240	4.59455
241	4.60778
242	4.35447
243	4.47737
244	4.41623
245	4.38736
246	4.32325
247	4.41081
248	4.40426
249	4.39623
250	4.44743
251	4.34166
252	4.38754
253	4.31506
254	4.20006
255	4.17507
256	4.1112
257	4.18871
258	4.15903
259	4.16246
260	4.23822
261	4.20297
262	4.27367
263	4.29215
264	4.24916
265	4.18393
266	4.21475
267	4.05813
268	4.01681
269	3.87834
270	3.84757
271	3.7842
272	3.71264
273	3.79102
274	3.74033
275	3.79565
276	3.80057
277	3.92334
278	3.96625
279	4.0545
280	4.03095
281	4.08558
282	4.09967
283	4.12373
284	4.17824
285	4.07378
286	3.84789
287	3.76303
288	3.59044
289	3.60245
290	3.32962
291	3.33239
292	3.21074
293	3.3202
294	3.30509
295	3.22581
296	3.36388
297	3.401
298	3.61716
299	3.58718
300	3.49692
301	3.54741
302	3.58187
303	3.66619
304	3.78884
305	3.78483
306	3.87525
307	3.92298
308	3.93592
309	3.92065
310	4.03568
311	4.09186
312	4.16965
313	4.20242
314	4.30161
315	4.23094
316	4.37269
317	4.37196
318	4.3228
319	4.36309
320	4.3654
321	4.45308
322	4.42101
323	4.40882
324	4.41401
325	4.4209
