frame	PSR
2	8.83472
3	8.63356
4	8.85911
5	8.03538
6	8.50062
7	8.30968
8	8.30548
9	8.34404
10	7.78699
11	8.19778
12	8.2647
13	8.26861
14	8.15424
15	8.65873
16	7.44076
17	8.24248
18	8.03704
19	7.79959
20	7.83818
21	7.67095
22	7.65951
23	7.64677
24	8.50335
25	8.24452
26	8.43388
27	8.40761
28	8.4662
29	8.60069
30	7.96713
31	8.3105
32	7.94043
33	7.97886
34	7.81912
35	7.92661
36	8.06306
37	8.15923
38	7.90854
39	8.09451
40	7.997
41	7.67825
42	8.07713
43	8.27426
44	7.87687
45	7.99596
46	8.62744
47	8.24055
48	7.75627
49	7.85784
50	8.18851
51	8.00464
52	8.2163
53	7.88131
54	7.4023
55	7.68827
56	7.74354
57	7.78356
58	8.13905
59	7.71968
60	7.85531
61	7.47265
62	8.07243
63	7.83427
64	7.69781
65	7.6739
66	7.46741
67	7.68209
68	7.55633
69	7.99806
70	8.30305
71	8.459
72	8.58014
73	8.5583
74	8.10025
75	8.30655
76	8.27543
77	8.38061
78	8.30251
79	7.45391
80	7.8711
81	7.67162
82	7.8784
83	7.93892
84	8.03098
85	8.23101
86	8.27942
87	7.56044
88	8.08249
89	8.18357
90	8.05095
91	7.91128
92	7.86247
93	7.65018
94	7.79583
95	7.4732
96	7.69056
97	7.89591
98	7.85442
99	7.87792
100	7.92268
101	8.13785
102	8.05762
103	8.14086
104	7.95495
105	8.01721
106	7.91826
107	7.66312
108	7.60311
109	7.51612
110	7.62103
111	7.66576
112	7.74538
113	7.76573
114	7.70691
115	7.79648
116	7.87734
117	7.58473
118	7.67971
119	7.60623
120	7.846
121	7.46762
122	7.69144
123	7.60348
124	7.78892
125	7.72014
126	7.67627
127	7.55933
128	7.80791
129	7.57502
130	7.66451
131	7.71155
132	7.57249
133	7.6547
134	7.74794
135	7.80429
136	7.13301
137	7.56677
138	7.43252
139	7.58779
140	7.56338
141	8.01364
142	8.05093
143	8.02068
144	7.87906
145	8.09444
146	7.99321
147	8.24983
148	8.03207
149	8.0141
150	7.72312
151	8.00319
152	8.03922
153	7.62382
154	7.22765
155	7.42809
156	7.69894
157	7.55728
158	7.93988
159	8.01817
160	7.68865
161	7.95706
162	8.17797
163	7.93106
164	7.87428
165	7.82924
166	7.99982
167	8.03863
168	7.99947
169	7.70266
170	7.86213
171	8.24673
172	7.92976
173	8.13479
174	7.58581
175	7.38675
176	7.84602
177	7.52231
178	7.6164
179	7.48259
180	7.95355
181	7.98887
182	7.98993
183	7.8485
184	7.8033
185	7.98423
186	7.84335
187	7.93591
188	8.10004
189	7.97303
190	7.80264
191	7.8994
192	7.8435
193	7.90446
194	7.81659
195	7.70233
196	7.71953
197	7.66287
198	7.49114
199	7.35377
200	7.40692
201	7.55143
202	7.63286
203	7.63315
204	7.83012
205	7.90836
206	7.87941
207	8.02176
208	8.24489
209	8.19343
210	7.86475
211	8.0986
212	8.1975
213	8.17096
214	7.96132
215	7.94408
216	7.87085
217	8.00321
218	7.89498
219	7.8641
220	7.95258
221	7.89809
222	7.77235
223	8.1465
224	7.81824
225	7.76889
226	8.09098
227	8.0297
228	7.80777
229	7.95498
230	8.05781
231	8.4036
232	8.39057
233	8.48659
234	8.12739
235	8.23976
236	8.27814
237	8.30797
238	8.14075
239	8.00523
240	7.93003
241	7.91123
242	7.87577
243	8.16978
244	7.94713
245	8.12119
246	8.10245
247	8.0563
248	8.01456
249	8.01619
250	8.0522
251	7.9585
252	8.1135
253	7.95529
254	7.98096
255	7.73738
256	7.80498
257	7.83431
258	7.83045
259	7.90575
260	7.96552
261	7.80949
262	8.16829
263	8.23973
264	8.02932
265	8.13027
266	8.0188
267	8.0916
268	8.00341
269	7.79923
270	8.54788
271	8.27709
272	8.39004
273	8.18489
274	8.67076
275	8.59062
276	8.62542
277	8.44472
278	8.36551
279	8.54326
280	8.45505
281	8.39557
282	8.10019
283	8.79155
284	8.73024
285	8.71832
286	8.67213
287	8.66585
288	8.74063
289	8.76125
290	8.79786
291	8.66067
292	8.49119
293	8.54407
294	8.47212
295	8.50518
296	8.54589
297	8.38206
298	8.13337
299	8.55325
300	8.61213
301	8.68517
302	8.69666
303	8.55073
304	8.63876
305	8.54658
306	8.46976
307	8.39941
308	8.41405
309	8.42043
310	8.82584
311	8.8539
312	8.86166
313	8.87636
314	8.96217
315	8.89225
316	8.66901
317	8.87994
318	8.74873
319	8.79434
320	8.6487
321	8.71223
322	8.73787
323	8.72615
324	8.94378
325	8.71329
326	8.77285
327	8.62191
328	8.67546
329	8.74111
330	8.72948
331	8.72267
332	8.71318
333	8.73655
334	8.80459
335	8.73134
336	8.52469
337	8.75165
338	8.64367
339	8.66753
340	8.59074
341	8.74123
342	8.62119
343	8.76205
344	8.77926
345	8.77679
346	8.60546
347	8.50878
348	8.39184
349	8.73421
350	9.03589
